;Prácticas orgánicasbiodinámicas/agroecológicas_EAPs;Año del censo;Partido
97;0;2018;Pilar
98;0;2018;Pinamar
99;0;2018;Presidente Perón
100;4;2018;Puán
101;0;2018;Punta Indio
102;0;2018;Quilmes
103;3;2018;Ramallo
104;35;2018;Rauch
105;0;2018;Rivadavia
106;0;2018;Rojas
107;0;2018;Roque Pérez
108;15;2018;Saavedra
109;11;2018;Saladillo
110;0;2018;Salliqueló
111;3;2018;Salto
112;0;2018;San Andrés de Giles
113;0;2018;San Antonio de Areco
114;0;2018;San Cayetano
115;0;2018;San Fernando
116;0;2018;San Isidro
117;0;2018;San Miguel
118;0;2018;San Nicolás
119;6;2018;San Pedro
120;0;2018;San Vicente
121;0;2018;Suipacha
122;10;2018;Tandil
123;0;2018;Tapalqué
124;0;2018;Tigre
125;0;2018;Tordillo
126;13;2018;Tornquist
127;0;2018;Trenque Lauquen
128;13;2018;Tres Arroyos
129;0;2018;Tres de Febrero
130;0;2018;Tres Lomas
131;0;2018;25 de mayo
132;0;2018;Vicente López
133;0;2018;Villa Gesell
134;5;2018;Villarino
135;0;2018;Zárate
136;0;2002;Provincia de Buenos Aires
137;0;2002;Adolfo Alsina
138;0;2002;Adolfo Gonzales Chaves
139;0;2002;Alberti
140;0;2002;Almirante Brown
141;0;2002;Arrecifes
142;0;2002;Avellaneda
143;0;2002;Ayacucho
144;0;2002;Azul
145;0;2002;Bahía Blanca
146;0;2002;Balcarce
147;0;2002;Baradero
148;0;2002;Benito Juárez
149;0;2002;Berazategui
150;0;2002;Berisso
151;0;2002;Bolívar
152;0;2002;Bragado
153;0;2002;Brandsen
154;0;2002;Campana
155;0;2002;Cañuelas
156;0;2002;Capitán Sarmiento
157;0;2002;Carlos Casares
158;0;2002;Carlos Tejedor
159;0;2002;Carmen de Areco
160;0;2002;Castelli
161;0;2002;Chacabuco
162;0;2002;Chascomús
163;0;2002;Chivilcoy
164;0;2002;Colón
165;0;2002;Coronel de Marina Leonardo Rosales
166;0;2002;Coronel Dorrego
167;0;2002;Coronel Pringles
168;0;2002;Coronel Suárez
169;0;2002;Daireaux
170;0;2002;Dolores
171;0;2002;Ensenada
172;0;2002;Escobar
173;0;2002;Esteban Echeverría
174;0;2002;Exaltación de la Cruz
175;0;2002;Ezeiza
176;0;2002;Florencio Varela
177;0;2002;Florentino Ameghino
178;0;2002;General Alvarado
179;0;2002;General Alvear
180;0;2002;General Arenales
181;0;2002;General Belgrano
182;0;2002;General Guido
183;0;2002;General Juan Madariaga
184;0;2002;General La Madrid
185;0;2002;General Las Heras
186;0;2002;General Lavalle
187;0;2002;General Paz
188;0;2002;General Pinto
189;0;2002;General Pueyrredón
190;0;2002;General Rodríguez
191;0;2002;General San Martín
192;0;2002;General Viamonte
193;0;2002;General Villegas
194;0;2002;Guaminí
195;0;2002;Hipólito Yrigoyen
196;0;2002;Hurlingham
197;0;2002;Ituzaingó
198;0;2002;José C, Paz
199;0;2002;Junín
200;0;2002;La Costa
201;0;2002;La Matanza
202;0;2002;Lanús
203;0;2002;La Plata
204;0;2002;Laprida
205;0;2002;Las Flores
206;0;2002;Leandro N, Alem
207;0;2002;Lezama
208;0;2002;Lincoln
209;0;2002;Lobería
210;0;2002;Lobos
211;0;2002;Lomas de Zamora
212;0;2002;Luján
213;0;2002;Magdalena
214;0;2002;Maipú
215;0;2002;Malvinas Argentinas
216;0;2002;Mar Chiquita
217;0;2002;Marcos Paz
218;0;2002;Mercedes
219;0;2002;Merlo
220;0;2002;Monte
221;0;2002;Monte Hermoso
222;0;2002;Moreno
223;0;2002;Morón
224;0;2002;Navarro
225;0;2002;Necochea
226;0;2002;9 de julio
227;0;2002;Olavarría
228;0;2002;Patagones
229;0;2002;Pehuajó
230;0;2002;Pellegrini
231;0;2002;Pergamino
232;0;2002;Pila
233;0;2002;Pilar
234;0;2002;Pinamar
235;0;2002;Presidente Perón
236;0;2002;Puán
237;0;2002;Punta Indio
238;0;2002;Quilmes
239;0;2002;Ramallo
240;0;2002;Rauch
241;0;2002;Rivadavia
242;0;2002;Rojas
243;0;2002;Roque Pérez
244;0;2002;Saavedra
245;0;2002;Saladillo
246;0;2002;Salliqueló
247;0;2002;Salto
248;0;2002;San Andrés de Giles
249;0;2002;San Antonio de Areco
250;0;2002;San Cayetano
251;0;2002;San Fernando
252;0;2002;San Isidro
253;0;2002;San Miguel
254;0;2002;San Nicolás
255;0;2002;San Pedro
256;0;2002;San Vicente
257;0;2002;Suipacha
258;0;2002;Tandil
259;0;2002;Tapalqué
260;0;2002;Tigre
261;0;2002;Tordillo
262;0;2002;Tornquist
263;0;2002;Trenque Lauquen
264;0;2002;Tres Arroyos
265;0;2002;Tres de Febrero
266;0;2002;Tres Lomas
267;0;2002;25 de mayo
268;0;2002;Vicente López
269;0;2002;Villa Gesell
270;0;2002;Villarino
271;0;2002;Zárate
272;0;1988;Provincia de Buenos Aires
273;0;1988;Adolfo Alsina
274;0;1988;Adolfo Gonzales Chaves
275;0;1988;Alberti
276;0;1988;Almirante Brown
277;0;1988;Arrecifes
278;0;1988;Avellaneda
279;0;1988;Ayacucho
280;0;1988;Azul
281;0;1988;Bahía Blanca
282;0;1988;Balcarce
283;0;1988;Baradero
284;0;1988;Bartolomé Mitre
285;0;1988;Benito Juárez
286;0;1988;Berazategui
287;0;1988;Berisso
288;0;1988;Bolívar
289;0;1988;Bragado
290;0;1988;Brandsen
291;0;1988;Campana
292;0;1988;Cañuelas
293;0;1988;Capitán Sarmiento
294;0;1988;Carlos Casares
295;0;1988;Carlos Tejedor
296;0;1988;Carmen de Areco
297;0;1988;Castelli
298;0;1988;Chacabuco
299;0;1988;Chascomús
300;0;1988;Chivilcoy
301;0;1988;Colón
302;0;1988;Coronel de Marina Leonardo Rosales
303;0;1988;Coronel Dorrego
304;0;1988;Coronel Pringles
305;0;1988;Coronel Suárez
306;0;1988;Daireaux
307;0;1988;Dolores
308;0;1988;Ensenada
309;0;1988;Escobar
310;0;1988;Esteban Echeverría
311;0;1988;Exaltación de la Cruz
312;0;1988;Ezeiza
313;0;1988;Florencio Varela
314;0;1988;Florentino Ameghino
315;0;1988;General Alvarado
316;0;1988;General Alvear
317;0;1988;General Arenales
318;0;1988;General Belgrano
319;0;1988;General Guido
320;0;1988;General Juan Madariaga
321;0;1988;General La Madrid
322;0;1988;General Las Heras
323;0;1988;General Lavalle
324;0;1988;General Paz
325;0;1988;General Pinto
326;0;1988;General Pueyrredón
327;0;1988;General Rodríguez
328;0;1988;General San Martín
329;0;1988;General Sarmiento
330;0;1988;General Viamonte
331;0;1988;General Villegas
332;0;1988;Guaminí
333;0;1988;Hipólito Yrigoyen
334;0;1988;Hurlingham
335;0;1988;Ituzaingó
336;0;1988;José C, Paz
337;0;1988;Junín
338;0;1988;La Costa
339;0;1988;La Matanza
340;0;1988;Lanús
341;0;1988;La Plata
342;0;1988;Laprida
343;0;1988;Las Flores
344;0;1988;Leandro N, Alem
345;0;1988;Lezama
346;0;1988;Lincoln
347;0;1988;Lobería
348;0;1988;Lobos
349;0;1988;Lomas de Zamora
350;0;1988;Luján
351;0;1988;Magdalena
352;0;1988;Maipú
353;0;1988;Malvinas Argentinas
354;0;1988;Mar Chiquita
355;0;1988;Marcos Paz
356;0;1988;Mercedes
357;0;1988;Merlo
358;0;1988;Monte
359;0;1988;Monte Hermoso
360;0;1988;Moreno
361;0;1988;Morón
362;0;1988;Navarro
363;0;1988;Necochea
364;0;1988;9 de julio
365;0;1988;Olavarría
366;0;1988;Patagones
367;0;1988;Pehuajó
368;0;1988;Pellegrini
369;0;1988;Pergamino
370;0;1988;Pila
371;0;1988;Pilar
372;0;1988;Pinamar
373;0;1988;Presidente Perón
374;0;1988;Puán
375;0;1988;Punta Indio
376;0;1988;Quilmes
377;0;1988;Ramallo
378;0;1988;Rauch
379;0;1988;Rivadavia
380;0;1988;Rojas
381;0;1988;Roque Pérez
382;0;1988;Saavedra
383;0;1988;Saladillo
384;0;1988;Salliqueló
385;0;1988;Salto
386;0;1988;San Andrés de Giles
387;0;1988;San Antonio de Areco
388;0;1988;San Cayetano
389;0;1988;San Fernando
390;0;1988;San Isidro
391;0;1988;San Miguel
392;0;1988;San Nicolás
393;0;1988;San Pedro
394;0;1988;San Vicente
395;0;1988;Suipacha
396;0;1988;Tandil
397;0;1988;Tapalqué
398;0;1988;Tigre
399;0;1988;Tordillo
400;0;1988;Tornquist
401;0;1988;Trenque Lauquen
402;0;1988;Tres Arroyos
403;0;1988;Tres de Febrero
404;0;1988;Tres Lomas
405;0;1988;25 de mayo
406;0;1988;Vicente López
407;0;1988;Villa Gesell
408;0;1988;Villarino
409;0;1988;Zárate
410;0;1988;Indeterminado
